0.82 -2.65 1.14
1.14 2.7 -0.63
-2.97 -0.13 -0.43
-2.81 -0.06 -1.04
1.05 -2.38 -1.49
1.7 -2.4 -0.58
-2.62 1.46 -0.18
1.12 0.49 2.74
-0.49 -2.9 0.61
0.34 1.4 -2.63
-0.91 2.86 0.14
-1.13 2.66 -0.81
1.04 1.99 1.99
2.68 0.97 0.93
-2.25 -1.46 1.34
2.75 1.21 -0.07
-1.25 1.25 2.42
0.1 -2.95 -0.51
2.34 1.46 -1.19
0.67 2.33 -1.76
-0.68 -2.79 -0.87
2.13 -1.64 -1.33
0.29 1.42 2.63
-0.97 2.78 0.59
-0.36 0.64 2.91
-2.83 0.42 0.91
0.11 -1.71 2.46
-1.77 2.03 -1.32
-0.43 -2.14 2.06
-0.65 0.06 -2.93
-1.82 0.63 2.3
1.69 -1.8 -1.7
-0.21 0.56 2.94
2.73 0.7 1.02
-1.9 1.37 -1.87
-2.94 -0.49 -0.35
-0.95 -2.79 0.57
2.03 1.44 -1.67
2.69 0.42 -1.27
-1.94 -0.86 -2.12
-2.29 1.53 1.19
0.42 1.17 -2.73
-0.02 0.66 2.93
-1.94 -1.16 -1.97
-1.86 1.93 1.35
-0.88 2.12 1.93
-2.83 -0.15 0.97
-1.52 2.42 -0.9
0.1 1.83 -2.38
-0.47 -0.97 2.8
-0.06 -2.88 -0.83
-2.2 1.95 0.59
2.4 1.64 0.73
-1.22 2.1 1.76
-2.72 1.18 0.44
-1.25 1.33 2.38
-2.13 0.47 2.05
0.6 -2.4 1.7
-0.75 -0.98 -2.74
0.43 2.54 -1.54
-1.59 2.55 0.01
-1.04 -2.49 -1.3
0.28 2.8 1.05
-2.42 1.58 0.81
-0.58 -1.98 2.17
2.16 -2.08 -0.04
2.91 -0.71 0.1
-2.75 -0.85 0.86
-0.72 2.84 -0.64
-0.88 -1.7 -2.31
-1.19 2.75 0.05
-2.81 0.48 0.92
-1.78 0.09 2.42
-2.59 1.45 0.44
2.79 -1.05 -0.36
-0.94 -0.29 2.83
-2.74 0.47 1.12
-2.01 -1 -1.99
1.83 2.19 -0.93
-2.24 0.8 1.83
0 -2.59 1.51
1.07 -2.8 -0.13
2.01 -1.7 1.45
-1.8 1.07 -2.15
-2.14 1.61 -1.34
-2.26 -1.86 -0.65
-2.96 -0.31 0.38
-0.55 2.83 0.84
2.85 0.87 -0.36
2.87 -0.19 0.86
-1.1 2.45 1.33
-0.21 2.84 0.94
1 -1.02 -2.64
-0.8 -1.62 -2.4
-1.59 0.24 -2.53
0.96 1.12 2.61
1.04 -1.44 -2.42
0.49 -2.85 -0.81
-2.38 1.73 -0.61
2.57 1.55 -0.03
0.64 -0.17 0.75
-0.15 0.26 0.95
-0.92 0.4 -0.01
0.5 -0.56 -0.66
0.33 0.23 -0.92
-0.23 0.88 0.41
-0.77 -0.63 -0.06
-0.6 -0.78 0.21
-0.46 -0.78 -0.42
0.33 -0.18 0.93
0.2 0.01 0.98
0.21 -0.91 0.35
0.41 -0.51 0.75
0.11 -0.63 0.77
-0.11 -0.51 -0.85
0.82 -0.57 -0.11
-0.45 0.36 -0.82
-0.99 0.06 -0.11
0.36 0.82 -0.44
-0.35 0.28 -0.89
-0.29 -0.81 -0.5
0.17 -0.5 0.85
0.01 -0.07 -1
-0.46 -0.52 0.72
0.16 -0.99 0.02
-0.06 -0.37 -0.93
0.98 -0.19 0.1
-0.05 1 -0.06
-0.95 0.05 0.31
-0.47 0.65 0.6
0.82 -0.53 -0.19
-0.22 0.49 0.84
-0.19 0.21 -0.96
0.72 0.69 -0.05
-0.43 -0.85 0.31
-0.52 -0.8 0.31
-0.06 -0.92 0.38
0.86 0.41 0.3
0.97 -0.12 0.19
0.05 -0.44 -0.9
-0.47 -0.87 -0.15
-0.44 0.68 0.59
-0.69 -0.17 0.7
-0.33 -0.94 0
-0.5 0.32 0.8
-0.27 0.74 -0.61
-0.08 -0.18 0.98
0.76 -0.55 -0.35
0.28 0.83 0.49
-0.22 0.49 -0.84
0.16 0.83 -0.54
-0.33 0.83 0.46
-0.57 0.14 -0.81
0.55 -0.21 0.81
0.16 -0.58 -0.8
-0.44 -0.05 0.9
-0.72 -0.25 -0.64
-0.76 -0.64 -0.11
0.43 0.56 -0.7
0.6 0.45 -0.66
0.9 0.2 -0.39
0.66 -0.57 -0.48
0.5 -0.41 -0.76
0.06 0.25 0.97
0.5 -0.79 -0.35
-0.85 -0.36 0.39
-0.47 -0.51 -0.72
-0.7 -0.64 -0.32
0.03 -0.71 -0.7
-0.57 0.05 -0.82
-0.35 0.93 0.07
-0.12 -0.67 -0.73
-0.76 -0.4 0.52
0.09 -0.74 -0.67
0.93 0.35 0.08
-0.7 0.37 -0.61
0.41 0.55 0.73
-0.77 0.59 0.26
-0.47 0.57 -0.67
-0.77 -0.64 0.02
-0.1 -0.76 -0.65
0.65 0.49 -0.58
0 0.79 -0.61
-0.93 0.1 -0.36
0.78 -0.62 -0.01
0.94 0.17 -0.3
0.16 0.55 -0.82
-0.14 -0.82 0.55
0.56 0.82 -0.15
-0.21 -0.5 0.84
0.27 -0.18 0.95
-0.43 0.21 -0.88
0.34 0.86 -0.38
0.53 -0.51 -0.67
0.74 -0.38 -0.55
0.49 -0.83 0.28
-0.85 -0.52 -0.09
0.15 -0.12 -0.98
-0.65 0.43 -0.63
-0.54 -0.33 0.77
