ALCOHOL  AMPHETAMINE  ASPIRIN  BARBITURATES  CAFFEINE  CANNABIS  CHOCOLATE  COCAINE  COUGH_MIXTURE  CRACK ECSTASY  GHB  GLUE  HEROIN  IMMODIUM  INSULIN  KETAMINE  LSD  MAGIC-MUSHROOMS  METHADONE  PCP  PENICILLIN  POPPERS  PROZAC  STEROIDS  TEMAZEPAM  TOBACCO VIAGRA 
      68     4.0     6.0     4.0    49.0    18.0    47.0     6.0     9.0     7.0     5.0      .0    13.0     6.0     6.0     8.0     2.0     4.0     9.0     4.0     2.0     6.0     3.0     5.0     3.0     4.0    55.0     5.0
       4    68.0     4.0    22.0     2.0    24.0     2.0    37.0     4.0    32.0    45.0    18.0    14.0    27.0     4.0     7.0    30.0    31.0    25.0    17.0    24.0     4.0    28.0     7.0    22.0    12.0     4.0     8.0
       6     4.0    68.0    20.0     9.0     3.0     8.0      .0    50.0      .0      .0     2.0     3.0     2.0    36.0    49.0    11.0      .0     3.0    21.0     6.0    57.0     3.0    29.0    21.0    13.0     8.0    37.0
       4    22.0    20.0    68.0     3.0    11.0     2.0    21.0    19.0    21.0    18.0    16.0    13.0    21.0    14.0    18.0    24.0    20.0    15.0    28.0    30.0    19.0    21.0    19.0    21.0    27.0     3.0    18.0
      49     2.0     9.0     3.0    68.0     8.0    58.0     5.0     9.0     4.0     6.0     3.0     7.0     2.0     6.0     6.0     1.0     2.0     5.0     3.0     2.0     7.0     3.0     7.0     6.0     2.0    52.0     7.0
      18    24.0     3.0    11.0     8.0    68.0     8.0    27.0     6.0    19.0    25.0     6.0    23.0    23.0     3.0     4.0     9.0    29.0    39.0     9.0    12.0     3.0    15.0     5.0    11.0     5.0    13.0     4.0
      47     2.0     8.0     2.0    58.0     8.0    68.0     3.0     9.0     3.0     3.0     1.0     6.0     1.0     6.0     6.0     1.0     2.0     4.0     2.0     1.0     7.0     1.0     6.0     4.0     2.0    50.0     6.0
       6    37.0      .0    21.0     5.0    27.0     3.0    68.0      .0    46.0    38.0    20.0    23.0    51.0      .0     3.0    23.0    38.0    19.0    20.0    23.0      .0    26.0     2.0    11.0    10.0     5.0     1.0
       9     4.0    50.0    19.0     9.0     6.0     9.0      .0    68.0     1.0     1.0     3.0     6.0     3.0    35.0    40.0    10.0     1.0     3.0    20.0     7.0    47.0     5.0    26.0    18.0    13.0     8.0    28.0
       7    32.0      .0    21.0     4.0    19.0     3.0    46.0     1.0    68.0    38.0    20.0    24.0    47.0      .0     2.0    24.0    44.0    21.0    18.0    25.0      .0    25.0     3.0    10.0    11.0     4.0     1.0
       5    45.0      .0    18.0     6.0    25.0     3.0    38.0     1.0    38.0    68.0    17.0    20.0    30.0      .0     2.0    22.0    43.0    31.0    14.0    23.0      .0    30.0     3.0    13.0    10.0     3.0     4.0
       0    18.0     2.0    16.0     3.0     6.0     1.0    20.0     3.0    20.0    17.0    68.0    11.0    18.0     9.0     4.0    26.0    15.0    12.0    12.0    29.0     1.0    28.0     5.0     9.0    16.0     2.0     6.0
      13    14.0     3.0    13.0     7.0    23.0     6.0    23.0     6.0    24.0    20.0    11.0    68.0    23.0     4.0     4.0    10.0    26.0    18.0    11.0    15.0     3.0    14.0     7.0    10.0    11.0     7.0     7.0
       6    27.0     2.0    21.0     2.0    23.0     1.0    51.0     3.0    47.0    30.0    18.0    23.0    68.0     2.0     1.0    20.0    42.0    23.0    21.0    22.0     2.0    21.0     5.0    14.0    14.0     3.0     3.0
       6     4.0    36.0    14.0     6.0     3.0     6.0      .0    35.0      .0      .0     9.0     4.0     2.0    68.0    31.0    12.0      .0     4.0    16.0    11.0    36.0     8.0    24.0    11.0    18.0     6.0    21.0
       8     7.0    49.0    18.0     6.0     4.0     6.0     3.0    40.0     2.0     2.0     4.0     4.0     1.0    31.0    68.0    11.0      .0      .0    25.0     4.0    56.0     5.0    29.0    19.0    15.0     8.0    36.0
       2    30.0    11.0    24.0     1.0     9.0     1.0    23.0    10.0    24.0    22.0    26.0    10.0    20.0    12.0    11.0    68.0    18.0    18.0    18.0    35.0     9.0    30.0     6.0    17.0    20.0     2.0    11.0
       4    31.0      .0    20.0     2.0    29.0     2.0    38.0     1.0    44.0    43.0    15.0    26.0    42.0      .0      .0    18.0    68.0    32.0    15.0    23.0      .0    22.0     2.0     6.0    11.0     2.0     3.0
       9    25.0     3.0    15.0     5.0    39.0     4.0    19.0     3.0    21.0    31.0    12.0    18.0    23.0     4.0      .0    18.0    32.0    68.0     6.0    20.0     3.0    21.0     6.0    14.0    10.0     7.0     6.0
       4    17.0    21.0    28.0     3.0     9.0     2.0    20.0    20.0    18.0    14.0    12.0    11.0    21.0    16.0    25.0    18.0    15.0     6.0    68.0    15.0    22.0    13.0    25.0    21.0    19.0     3.0    21.0
       2    24.0     6.0    30.0     2.0    12.0     1.0    23.0     7.0    25.0    23.0    29.0    15.0    22.0    11.0     4.0    35.0    23.0    20.0    15.0    68.0     5.0    34.0     9.0    11.0    28.0     2.0     6.0
       6     4.0    57.0    19.0     7.0     3.0     7.0      .0    47.0      .0      .0     1.0     3.0     2.0    36.0    56.0     9.0      .0     3.0    22.0     5.0    68.0     3.0    35.0    24.0    18.0     6.0    40.0
       3    28.0     3.0    21.0     3.0    15.0     1.0    26.0     5.0    25.0    30.0    28.0    14.0    21.0     8.0     5.0    30.0    22.0    21.0    13.0    34.0     3.0    68.0     7.0    13.0    18.0     3.0     6.0
       5     7.0    29.0    19.0     7.0     5.0     6.0     2.0    26.0     3.0     3.0     5.0     7.0     5.0    24.0    29.0     6.0     2.0     6.0    25.0     9.0    35.0     7.0    68.0    25.0    22.0     4.0    34.0
       3    22.0    21.0    21.0     6.0    11.0     4.0    11.0    18.0    10.0    13.0     9.0    10.0    14.0    11.0    19.0    17.0     6.0    14.0    21.0    11.0    24.0    13.0    25.0    68.0    16.0     7.0    35.0
       4    12.0    13.0    27.0     2.0     5.0     2.0    10.0    13.0    11.0    10.0    16.0    11.0    14.0    18.0    15.0    20.0    11.0    10.0    19.0    28.0    18.0    18.0    22.0    16.0    68.0     3.0    15.0
      55     4.0     8.0     3.0    52.0    13.0    50.0     5.0     8.0     4.0     3.0     2.0     7.0     3.0     6.0     8.0     2.0     2.0     7.0     3.0     2.0     6.0     3.0     4.0     7.0     3.0    68.0     6.0
       5     8.0    37.0    18.0     7.0     4.0     6.0     1.0    28.0     1.0     4.0     6.0     7.0     3.0    21.0    36.0    11.0     3.0     6.0    21.0     6.0    40.0     6.0    34.0    35.0    15.0     6.0    68.0
